snapped_at,price,market_cap,total_volume
2020-12-22,610.4270278980672,69545799024.42459,14563648896.243876
2020-12-23,634.9797234431858,72327947935.45154,11548425748.838194
2020-12-24,587.9588954992439,67468061368.13851,16795838161.84157
2020-12-25,612.8796570505974,69867514814.01097,15132872519.529186
2020-12-26,626.4567387784558,71422858091.1277,13125875205.90394
2020-12-27,636.7423171944997,72391403990.8806,14640527408.48169
2020-12-28,689.6598573269875,78833072066.0927,24721301579.88044
2020-12-29,732.9570292975275,83575563402.66385,22707049400.143177
2020-12-30,735.5908981625738,83885243123.81543,17170428247.761232
2020-12-31,752.8559324490188,85790178023.44371,13293869466.928808
2021-01-01,738.6169381520413,84037694047.35515,18166112097.655663
2021-01-02,730.1473402196374,83294083323.20639,13843183079.15519
2021-01-03,777.6960653039432,88595346035.55156,20443662605.68775
2021-01-04,967.0005967288458,112525376104.65454,140906534190.58786
2021-01-05,1025.6547675669035,116693162132.74934,62285144708.39812
2021-01-06,1103.3582516225742,125112930227.72488,47148245967.40434
2021-01-07,1208.5750928728885,137306782958.13136,47886847354.00142
2021-01-08,1229.4713150147782,139084939665.71393,43042878463.81648
2021-01-09,1223.7296883535275,139145700786.27826,48132624602.86217
2021-01-10,1282.979575527323,147397891905.5662,34851118090.66404
2021-01-11,1267.7310031512136,144775179901.584,44541377224.12463
2021-01-12,1092.9143378806064,124728988376.03725,67107873698.86543
2021-01-13,1045.406815230412,119330774034.78914,37495863245.02223
2021-01-14,1132.0155910164729,128582223216.0304,32166268470.073757
2021-01-15,1216.9147884634556,138240285220.32953,34339866026.50668
2021-01-16,1171.8600177046465,133962341262.37856,39499008134.40842
2021-01-17,1234.6318700828049,141369013157.282,38277998837.56892
2021-01-18,1229.379698072007,142087383372.707,35508914212.36928
2021-01-19,1255.976691513213,143378258827.21744,30802895108.229195
2021-01-20,1383.4840902277117,157929393133.71045,52274850962.437416
2021-01-21,1385.8529958752583,156457140894.28006,52021227614.32531
2021-01-22,1122.912432537305,130713677392.4996,49658518028.423325
2021-01-23,1236.6834427536564,140271927461.8329,48657448380.08583
2021-01-24,1231.176379704471,140773242456.76056,30774910632.149376
2021-01-25,1392.5397634449737,158167202909.14236,39913977039.25946
2021-01-26,1323.4295031020106,151940348541.692,44124188232.248085
2021-01-27,1355.233724240999,155446593758.92108,40367492548.54314
2021-01-28,1253.141671558609,141774137750.6659,38752412145.036766
2021-01-29,1328.773619066556,152877389472.9714,32668893126.715782
2021-01-30,1380.2842591352105,158354114909.26474,49454503567.54182
2021-01-31,1372.427228964234,157410718624.21973,29581914651.14533
2021-02-01,1317.0474362291775,150322722005.1637,24723054987.87416
2021-02-02,1368.6644548123777,155894407853.50046,28544048877.677177
2021-02-03,1514.2251957516528,174557101587.54166,42952410181.63245
2021-02-04,1661.000824367477,189023794263.7008,42202356538.206825
2021-02-05,1587.8008991859367,183982328605.4526,42668487953.81155
2021-02-06,1724.8569083393102,196424150368.4788,39147540640.174576
2021-02-07,1683.941297865053,192164042318.95844,36776919163.51647
2021-02-08,1608.6405479857196,184109385158.1494,38849634841.44165
2021-02-09,1750.997553719215,198719063426.16904,45540524354.89187
2021-02-10,1769.053533934599,203102939465.473,42127693213.60732
2021-02-11,1739.164209004836,199919369275.37125,40563120176.97226
2021-02-12,1782.5088691218525,203774834938.25632,33868453070.396435
2021-02-13,1841.1977507032907,210344318124.7324,36105354379.40371
2021-02-14,1810.8425457323729,207890872554.91016,33305061601.17683
2021-02-15,1804.9841464366496,207057026271.03052,30218599726.89195
2021-02-16,1775.758351701864,203972439068.60132,37652347195.44906
2021-02-17,1782.5753090505934,204528599567.24704,33252538989.620327
2021-02-18,1845.573922156752,211713928319.0353,33582379213.069286
2021-02-19,1938.5694368074617,221863277318.4042,34799956643.698685
2021-02-20,1969.9797177628184,226038410300.1425,34796767875.96328
2021-02-21,1929.367692879665,221404545098.43417,44957939435.53464
2021-02-22,1941.4267676797988,223004310602.4685,33064349740.90669
2021-02-23,1788.6152102806425,204731064486.9056,53799590366.036766
2021-02-24,1563.9246059011416,179691686731.1511,62714754623.34122
2021-02-25,1628.391533792655,185843232352.39117,40313400449.15527
2021-02-26,1468.8601037286776,168658293547.98462,31736119376.25847
2021-02-27,1450.988746804119,167151176870.9801,36682073651.905846
2021-02-28,1480.1295768477528,167833687528.28204,28221473460.214203
2021-03-01,1416.661552837565,163289758568.53607,35420463945.47327
2021-03-02,1570.399689634054,179885012253.05722,31604939381.8638
2021-03-03,1497.0891042633873,172017777678.2973,29049758215.725
2021-03-04,1579.427168760309,182133382817.63596,30352405292.089718
2021-03-05,1546.4996211167372,177647949967.0106,29848246930.85004
2021-03-06,1539.0484290947377,176268279969.45792,28537887161.01869
2021-03-07,1661.9279698998157,191505024384.2956,31094969328.98433
2021-03-08,1727.463096224567,198695961501.5439,29416647567.95784
2021-03-09,1837.5330305439447,211132676701.59903,35353973627.380775
2021-03-10,1869.3311016255,214412034435.93903,31147565432.965343
2021-03-11,1802.3110916881176,207916309215.61444,31746963272.74199
2021-03-12,1826.0574768119816,210018342198.09775,31257932436.53519
2021-03-13,1770.9361793697751,203771682506.1516,28436574756.548508
2021-03-14,1927.7207203999012,222405459430.7676,32785949401.529545
2021-03-15,1866.0715447008808,215367930757.887,26379565439.25233
2021-03-16,1791.047851830107,207264868908.9888,32950345872.85245
2021-03-17,1808.5512173614395,207059072434.72623,30686971237.08834
